lokasi,latitude,longitude,curah_hujan,penggunaan lahan,jenis tanah,Kategori Curah Hujan,Labeling
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, PANYIRAPAN",-7.049.881,107.521.854,2272.94,1,5,3,0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, SUKANAGARA",-7.065.081,107.518.936,2267.37,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CUKANGGENTENG",-7.079.423,107.499.905,2269.68,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CISONDARI",-7.127.131,107.488.809,2216.54,7,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MARGAMULYA",-7.130.081,107.459.001,2383.19,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, NENGKELAN",-7.064.169,107.463.958,147.741,6,7,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, PANUNDAAN",-7.120.492,10.744.017,2527.76,9,1,4,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, RAWABOGO",-705.837,107.444.787,2336.46,5,7,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, SUKAWENING",-7.066.873,107.475.166,2290.97,1,7,3,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, PATENGAN",-7.164.693,107.358.675,3118.86,1,7,5,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, CIPELAH",-7.171.003,107.294.264,367.467,1,7,1,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, ALAMENDAH",-7.141.538,107.422.195,2760.99,1,1,4,0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, PANYIRAPAN",-7.049.881,107.521.854,2272.94,1,5,3,0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, SUKANAGARA",-7.065.081,107.518.936,2267.37,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CUKANGGENTENG",-7.079.423,107.499.905,2269.68,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CISONDARI",-7.127.131,107.488.809,2216.54,7,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MARGAMULYA",-7.130.081,107.459.001,2383.19,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, NENGKELAN",-7.064.169,107.463.958,147.741,6,7,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, PANUNDAAN",-7.120.492,10.744.017,2527.76,9,1,4,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, RAWABOGO",-705.837,107.444.787,2336.46,5,7,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, SUKAWENING",-7.066.873,107.475.166,2290.97,1,7,3,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, PATENGAN",-7.164.693,107.358.675,3118.86,1,7,5,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, CIPELAH",-7.171.003,107.294.264,367.467,1,7,1,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, ALAMENDAH",-7.141.538,107.422.195,2760.99,1,1,4,0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, PANYIRAPAN",-7.049.881,107.521.854,2272.94,1,5,3,0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, SUKANAGARA",-7.065.081,107.518.936,2267.37,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CUKANGGENTENG",-7.079.423,107.499.905,2269.68,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CISONDARI",-7.127.131,107.488.809,2216.54,7,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MARGAMULYA",-7.130.081,107.459.001,2383.19,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, NENGKELAN",-7.064.169,107.463.958,147.741,6,7,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, PANUNDAAN",-7.120.492,10.744.017,2527.76,9,1,4,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, RAWABOGO",-705.837,107.444.787,2336.46,5,7,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, SUKAWENING",-7.066.873,107.475.166,2290.97,1,7,3,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, PATENGAN",-7.164.693,107.358.675,3118.86,1,7,5,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, CIPELAH",-7.171.003,107.294.264,367.467,1,7,1,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, ALAMENDAH",-7.141.538,107.422.195,2760.99,1,1,4,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, PASIRJAMBU",-7.088.203,107.471.956,2305.87,9,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CIBODAS",-7.090.093,107.473.612,2301.96,7,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CIKONENG",-7.069.633,107.486.203,2284.21,6,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MEKARSARI",-7.133.173,107.512.842,2077.88,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MEKARMAJU",-7.087.979,107.471.013,2305.87,9,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, TENJOLAYA",-7.115.178,107.469.955,2320.31,9,7,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, LEBAKMUNCANG",-7.089.972,107.448.849,176.2,9,1,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, CIWIDEY",-710.323,107.464.055,2341.83,9,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, PANYOCOKAN",-7.089.728,1.074.652,2321.31,9,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, PASIRJAMBU",-7.088.203,107.471.956,2305.87,9,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CIBODAS",-7.090.093,107.473.612,2301.96,7,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CIKONENG",-7.069.633,107.486.203,2284.21,6,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MEKARSARI",-7.133.173,107.512.842,2077.88,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MEKARMAJU",-7.087.979,107.471.013,2305.87,9,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, TENJOLAYA",-7.115.178,107.469.955,2320.31,9,7,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, LEBAKMUNCANG",-7.089.972,107.448.849,176.2,9,1,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, CIWIDEY",-710.323,107.464.055,2341.83,9,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, PANYOCOKAN",-7.089.728,1.074.652,2321.31,9,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, PASIRJAMBU",-7.088.203,107.471.956,2305.87,9,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CIBODAS",-7.090.093,107.473.612,2301.96,7,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CIKONENG",-7.069.633,107.486.203,2284.21,6,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MEKARSARI",-7.133.173,107.512.842,2077.88,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MEKARMAJU",-7.087.979,107.471.013,2305.87,9,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, TENJOLAYA",-7.115.178,107.469.955,2320.31,9,7,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, LEBAKMUNCANG",-7.089.972,107.448.849,176.2,9,1,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, CIWIDEY",-710.323,107.464.055,2341.83,9,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, PANYOCOKAN",-7.089.728,1.074.652,2321.31,9,1,3,0
Kec. Cimaung Ds. Sukamaju,-7.115.492,107.526.652,2118.71,5,3,3,1
Kec. Ciwidey Ds. Ciwidey,-7.102.628,107.463.481,2341.83,9,1,3,0
Kec. Pasirjambu Ds. Tenjolaya Kecamatan Ciwidey Kel Ciwidey Kecamatan Soreang Kel Pamekaran,-7.193.613,107.480.235,2122.59,2,7,3,0
Kec. Ciwidey Ds. Ciwidey Kec. BojongSoang,-7.102.628,107.463.481,2341.83,9,1,3,0
Kec. Pangalengan Ds. Margamulya,-7.130.081,107.459.001,2383.19,5,3,3,1
Kec. Rancabali Ds. Alamendah Kec. Ciparay Ds. Mangunharja,-7.141.538,107.422.195,2760.99,1,1,4,0
Kec. Kertasari Ds. Cibereum Kec. Pasir Jambu Ds. Mekarsari,-7.100.202,107.470.643,2317.37,9,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, KAMASAN",-7.049.468,107.577.835,2206.38,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, SINDANGPANON",-7.077.363,10.758.678,2163.71,7,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, KIANGROKE",-7.046.472,107.569.174,115.539,6,8,1,0
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, MARGAHURIP",-7.053.728,107.565.405,2213.62,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, PASIRMULYA",-7.091.043,10.758.928,2131.13,7,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, LAMAJANG",-7.126.691,107.542.988,40.756,5,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, MARGAMUKTI",-7.180.318,107.604.872,1874.68,1,3,2,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, MARGAMEKAR",-7.197.253,107.574.856,1760.19,1,3,2,0
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, WARGALUYU",-7.050.118,107.632.998,105.344,5,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIMAUNG, JAGABAYA",-70.731,10.755.959,2.197,6,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIMAUNG, PASIRHUNI",-7.081.409,107.575.062,2163.26,7,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PACET, MARUYUNG",-7.109.995,107.697.337,2094.16,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CANGKUANG, PANANJUNG",-7.061.042,107.528.088,131.336,6,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, KAMASAN",-7.049.468,107.577.835,2206.38,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, SINDANGPANON",-7.077.363,10.758.678,2163.71,7,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, KIANGROKE",-7.046.472,107.569.174,115.539,6,8,1,0
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, MARGAHURIP",-7.053.728,107.565.405,2213.62,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, PASIRMULYA",-7.091.043,10.758.928,2131.13,7,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, LAMAJANG",-7.126.691,107.542.988,40.756,5,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, MARGAMUKTI",-7.180.318,107.604.872,1874.68,1,3,2,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, MARGAMEKAR",-7.197.253,107.574.856,1760.19,1,3,2,0
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, WARGALUYU",-7.050.118,107.632.998,105.344,5,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIMAUNG, JAGABAYA",-70.731,10.755.959,2.197,6,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIMAUNG, PASIRHUNI",-7.081.409,107.575.062,2163.26,7,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PACET, MARUYUNG",-7.109.995,107.697.337,2094.16,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CANGKUANG, PANANJUNG",-7.061.042,107.528.088,131.336,6,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, KAMASAN",-7.049.468,107.577.835,2206.38,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, SINDANGPANON",-7.077.363,10.758.678,2163.71,7,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, KIANGROKE",-7.046.472,107.569.174,115.539,6,8,1,0
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, MARGAHURIP",-7.053.728,107.565.405,2213.62,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, PASIRMULYA",-7.091.043,10.758.928,2131.13,7,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, LAMAJANG",-7.126.691,107.542.988,40.756,5,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, MARGAMUKTI",-7.180.318,107.604.872,1874.68,1,3,2,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, MARGAMEKAR",-7.197.253,107.574.856,1760.19,1,3,2,0
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, WARGALUYU",-7.050.118,107.632.998,105.344,5,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIMAUNG, JAGABAYA",-70.731,10.755.959,2.197,6,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIMAUNG, PASIRHUNI",-7.081.409,107.575.062,2163.26,7,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PACET, MARUYUNG",-7.109.995,107.697.337,2094.16,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CANGKUANG, PANANJUNG",-7.061.042,107.528.088,131.336,6,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, BANJARAN WETAN",-7.072.447,107.602.015,2165.65,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, CIAPUS",-7.075.712,107.593.816,95.451,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, MEKARJAYA",-7.093.329,107.600.028,2124.39,7,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, PANGALENGAN",-7.164.045,10.760.302,122.0,1,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, SUKAMANAH",-7.190.085,107.586.937,1796.56,1,3,2,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, MARGAMULYA",-715.793,107.583.464,-16.344,1,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, BANJARSARI",-7.215.105,107.596.212,1851.85,1,3,2,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, TRIBAKTIMULYA",-7.143.142,107.585.982,1922.94,2,3,2,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, WANASUKA",-7.246.195,107.617.935,18.111,9,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, ARJASARI",-7.076.116,107.640.089,2149.17,6,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, LEBAKWANGI",-7.043.379,107.607.555,110.425,1,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, BATUKARUT",-7.068.763,107.608.822,2170.15,7,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, ANCOLMEKAR",-7.087.497,10.766.832,2123.69,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, BAROS",-7.087.932,107.632.181,2132.19,1,3,3,0
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, MANGUNJAYA",-7.093.635,107.621.363,82.302,1,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, MEKARJAYA",-7.099.717,107.633.146,2114.76,1,3,3,0
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, PINGGIRSARI",-7.080.987,107.654.935,86.381,6,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, PATROLSARI",-7.054.134,107.671.243,2153.36,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, ARJASARI, RANCAKOLE",-7.070.435,107.676.273,2133.44,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIMAUNG, CIMAUNG",-7.090.613,107.561.639,2151.44,9,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIMAUNG, CAMPAKAMULYA",-7.106.941,107.592.755,2083.42,7,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIMAUNG, CIKALONG",-7.130.129,107.585.264,1989.56,2,3,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CIMAUNG, WARJABAKTI",-7.131.758,10.758.697,1982.82,2,3,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, CIKONENG",-7.076.253,107.704.583,2104.46,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, PAKUTANDANG",-704.302,107.709.838,2116.43,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PACET, CIPEUJEUH",-7.095.967,107.703.147,2097.41,9,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PACET, CIKITU",-7.152.569,107.663.249,2056.36,1,3,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PACET, SUKARAME",-7.162.114,107.713.768,2080.34,2,3,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PACET, NAGRAK",-7.115.086,10.772.059,2086.26,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PACET, CIKAWAO",-7.119.454,107.730.175,2083.65,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PACET, MEKARJAYA",-7.121.446,107.666.684,2090.33,1,3,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PACET, PANGAUBAN",-7.140.213,107.660.778,2069.22,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PACET, MANDALAHAJI",-71.167,107.708.485,2089.41,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PACET, GIRIMULYA",-7.157.447,107.669.022,2.059,5,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, PACET, TANJUNGWANGI",-709.138,107.712.804,2093.57,1,5,3,0
"JAWA BARAT, KABUPATEN BANDUNG, PACET, MEKARSARI",-7.100.292,107.681.994,2105.26,1,5,3,0
"JAWA BARAT, KABUPATEN BANDUNG, KERTASARI, SUKAPURA",-7.169.258,107.669.201,2049.37,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, KERTASARI, CIBEUREUM",-7.189.821,107.662.298,45.536,5,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, KERTASARI, SANTOSA",-7.269.392,107.635.566,2006.47,1,3,3,0
"JAWA BARAT, KABUPATEN BANDUNG, KERTASARI, TARUMAJAYA",-7.230.035,107.664.374,2021.18,1,3,3,0
"JAWA BARAT, KABUPATEN BANDUNG, KERTASARI, NEGLAWANGI",-7.274.356,107.697.231,2066.97,1,1,3,0
"JAWA BARAT, KABUPATEN BANDUNG, KERTASARI, CIHAWUK",-7.198.965,107.704.747,2066.98,1,3,3,0
"JAWA BARAT, KABUPATEN BANDUNG, KERTASARI, CIKEMBANG",-7.212.083,10.768.862,2051.66,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, MAJALAYA",-7.057.524,10.775.158,2079.82,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, WANGISAGARA",-7.079.241,107.731.298,2086.53,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, BIRU",-7.052.554,107.719.285,2102.83,9,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, PADAMULYA",-7.064.578,107.740.249,67.359,6,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, MAJASETRA",-70.419,107.747.175,2079.91,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, MAJAKERTA",-7.052.546,107.756.552,2075.87,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, SUKAMAJU",-7.057.213,107.743.839,2082.46,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, PADAULUN",-7.056.088,107.729.237,2092.68,9,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, NEGLASARI",-7.079.132,107.721.325,2091.98,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, SUKAMUKTI",-7.063.735,107.735.381,68.362,9,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, IBUN, IBUN",-7.132.164,10.775.965,2080.84,1,3,3,0
"JAWA BARAT, KABUPATEN BANDUNG, IBUN, DUKUH",-7.139.042,107.749.163,2081.85,2,3,3,0
"JAWA BARAT, KABUPATEN BANDUNG, IBUN, PANGGUH",-7.105.259,107.739.694,2081.62,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, IBUN, LAMPEGAN",-707.826,107.751.989,2080.36,9,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, IBUN, NEGLASARI",-7.139.568,107.739.851,2082.49,2,3,3,0
"JAWA BARAT, KABUPATEN BANDUNG, IBUN, CIBEET",-7.094.255,107.754.724,2080.15,1,5,3,0
"JAWA BARAT, KABUPATEN BANDUNG, IBUN, KARYALAKSANA",-7.087.084,107.743.279,2081.72,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, BANJARAN WETAN",-7.072.447,107.602.015,2165.65,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, CIAPUS",-7.075.712,107.593.816,95.451,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, MEKARJAYA",-7.093.329,107.600.028,2124.39,7,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, PANGALENGAN",-7.164.045,10.760.302,122.0,1,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, SUKAMANAH",-7.190.085,107.586.937,1796.56,1,3,2,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, MARGAMULYA",-715.793,107.583.464,-16.344,1,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, PANGALENGAN, BANJARSARI",-7.215.105,107.596.212,1851.85,1,3,2,0
