lokasi,latitude,longitude,curah_hujan,penggunaan lahan,jenis tanah,Kategori Curah Hujan,Labeling
"JAWA BARAT, KABUPATEN BANDUNG, CILENGKRANG, CILENGKRANG",-6.895.509,107.737.729,75.332,5,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CILENGKRANG, CIPANJALU",-6.866.374,107.724.931,81.632,1,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CILENGKRANG, MELATIWANGI",-6.883.688,107.708.062,84.463,9,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CILENGKRANG, CIPOREAT",-6.888.145,107.729.171,2117.41,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CILENGKRANG, GIRIMEKAR",-6.895.014,107.692.086,2138.16,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, LENGKONG",-69.764,107.635.177,2230.77,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, BOJONGSOANG",-6.985.208,107.632.211,123.574,9,6,1,0
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, BUAHBATU",-6.967.187,107.637.607,2221.87,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, CIPAGALO",-6.970.813,107.652.812,2212.66,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, BOJONGSARI",-6.997.868,107.655.295,2219.51,3,6,3,0
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, TEGALLUAR",-6.983.973,107.690.241,2167.85,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MARGAHAYU, MARGAHAYU TENGAH",-6.963.003,107.577.496,2213.46,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MARGAHAYU, SUKAMENAK",-6.966.867,107.578.086,2215.64,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MARGAHAYU, SAYATI",-6.974.538,10.757.866,2218.53,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MARGAASIH, MARGAASIH",-6.943.611,107.554.618,2208.38,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MARGAASIH, LAGADAR",-6.932.163,107.540.854,2210.83,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MARGAASIH, NANJUNG",-6.954.842,10.754.495,2221.15,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MARGAASIH, RAHAYU",-6.963.088,10.756.532,2215.76,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MARGAASIH, CIGONDEWAH HILIR",-6.958.067,107.558.631,114.9,6,6,1,0
"JAWA BARAT, KABUPATEN BANDUNG, KATAPANG, KATAPANG",-7.008.994,107.547.562,2243.97,6,8,3,1
"JAWA BARAT, KABUPATEN BANDUNG, KATAPANG, GANDASARI",-7.019.955,107.549.179,125.705,9,8,1,0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, DAYEUHKOLOT",-6.983.619,107.619.238,123.179,9,6,1,0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, CITEUREUP",-6.977.669,107.627.161,2234.66,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PAMEUNGPEUK, BOJONGMANGGU",-7.040.696,107.617.848,2205.97,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, RANCAEKEK WETAN",-6.972.738,107.749.403,2063.13,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, RANCAEKEK KULON",-6.975.362,107.736.463,2087.57,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, BOJONGLOA",-6.979.738,107.754.982,2049.91,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, SUKAMANAH",-6.992.168,107.727.294,2105.69,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, CIPARAY",-7.037.541,107.712.519,2115.93,5,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, GUNUNGLEUTIK",-7.039.121,107.697.727,2134.58,6,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, MEKARSARI",-7.034.466,107.722.777,2104.97,1,6,3,0
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, CIHEULANG",-7.034.345,107.684.737,93.929,1,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, SUMBERSARI",-7.008.205,107.697.573,2150.89,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, SARIMAHI",-7.022.585,107.699.779,2141.37,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, SERANGMEKAR",-7.024.028,107.693.155,2149.57,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, SOREANG",-7.014.649,107.530.623,2262.39,9,8,3,1
Kec. Baleendah Kel. Manggahang,-7.026.624,107.642.027,2213.86,4,5,3,0
Kec. Dayeuhkolot Ds. Dayeuhkolot Kec. Rancaekek Ds. Sangiang,-698.644,10.762.411,2238.77,9,6,3,1
Kec. Dayeuhkolot Ds. Citeureup Kec. Margaasih Ds. Cigondewah Hilir,-6.980.664,107.626.354,2237.21,6,6,3,1
Kec. Ciparay Ds. Ciparay Kec.Soreang Ds. Soreang,-7.029.445,107.710.208,2122.43,6,6,3,1
Kec. Dayeuhkolot Ds. Dayeuhkolot Ds. Citeureup Ds. Cangkuang Wetan Kec. Baleendah Kel. Baleendah Kec. Bojongsoang Ds. Bojongsoang Ds. Tegalluar,-698.644,10.762.411,2238.77,9,6,3,1
Kec. Dayeuhkolot Ds Dayeuhkolot Desa Cangkuang Kec. Bojongsoang Desa Bojongsoang,-698.644,10.762.411,2238.77,9,6,3,1
Kec. Baleendah Kel. Baleendah Ds. Andir Kec. Bojongsoang Ds. Tegalluar Ds. Bojongsoang Kec. Dayeuhkolot Ds. Citeureup Ds. Dayeuhkolot,-7.018.377,107.630.571,2226.85,5,5,3,1
Kec. Rancaekek Ds. Rancaekek Kulon,-696.488,107.755.958,53.783,1,6,1,0
Kec. Dayeuhkolot Ds. Dayeuhkolot Kel. Citeureup Kec. Baleendah Kel. Andir Ds. Bojong Malaka Kec. Bojongsoang Ds. Bojongsoang Ds. Cijagra Kel. Cibiru Wetan Kel. Cimekar Kec. Cileunyi,-698.644,10.762.411,2238.77,9,6,3,1
Kec. RancaEkek Ds. RancaEkek,-696.488,107.755.958,53.783,1,6,1,0
Kec. Rancaekek Ds. Rancaekek Kulon Ds. Rancaekek Wetan Kec. Cileunyi Ds. Cileunyi Wetan,-696.488,107.755.958,53.783,1,6,1,0
Kec. Pacet Ds. Pangauban Kp. Babakan Ds. Sukarame Kp. Kamburaya,-6.998.609,107.559.217,2230.55,9,6,3,1
Kec. Rancaekek Ds. Rancaekek Kulon Ds. Rancaekek Wetan Ds. Bojongloa,-696.488,107.755.958,53.783,1,6,1,0
Kec. Cileunyi Ds. Cileunyi Wetan Kec. Bojongsoang Ds. Bojongsoang Ds. Tegalluar Kec. Baleendah Kel. Andir Kec. Dayeuhkolot Ds. Dayeuhkolot Ds. Citeureup,-6.942.748,10.775.341,2064.16,6,4,3,1
Kec. Solokan Jeruk Ds. Panyadap Kec. Dayeuhkolot Ds. Dayeuhkolot Kec. Baleendah Ds. Andir Kec. Rancaekek Ds. Rancaekek Kulon Kec. Majalaya Ds. Bojong Kec. Bojongsoang Ds. Bojongsoang,-7.030.836,107.758.671,2063.86,6,6,3,1
Kec. Bojongsoang Ds. Bojongsoang Kec. Dayeuhkolot Ds. Dayeuhkolot Kec. Baleendah Kel. Andir,-6.993.945,1.076.437,2232.58,3,6,3,0
"Kec. Baleendah, Ds. Manggahang ● Kec. Pameungpeuk, Ds. Bojongmanggu",-7.026.624,107.642.027,2213.86,4,5,3,0
Kac. Dayehkolot Ds. Dayeuhkolot Ds. Citeureup Kel. Pasawahan. Kec. Baleendah Kel. Andir Kel. Baleendah Kec. Bojongsoang Ds. Bojongsoang Ds. Bojongsari Ds. Tegaluar,-698.644,10.762.411,2238.77,9,6,3,1
Ds. Mekarsaluyu Tarumajaya,-6.873.328,107.652.027,85.163,5,5,1,0
Kec. Dayeuhkolot Ds. Dayeuhkolot Kec. Baleendah Kel. Andir Kel. Baleendah Kec.Bojongsoang Ds. Bojongsoang Ds.Bojongsari Ds. Tegaluar Kec. Margahayu Ds. Sayati,-698.644,10.762.411,2238.77,9,6,3,1
Kec. Rancaekek Ds. Rancaekek Kulon Kamp. Bojongmelati,-696.488,107.755.958,53.783,1,6,1,0
Kec. Rancaekek Ds. Bojongloa Ds. Rancaekek Wetan Ds. Rancaekek Kulon,-6.979.738,107.754.982,2049.91,6,6,3,1
Kec. Dayeuhkolot Ds. Dayeuhkolot; Citeureup; Kel. Pasawahan Kec. Baleendah Kel. Andir dan Baleendah Kec. Bojongsoang Ds. Bojongsoang,-6.972.873,107.614.077,2229.73,9,6,3,1
Kec. Margahayu Ds. Sayati Kec. Ciparay Ds. Gunungleutik Kec. Bojongsoang Ds. Bojongsoang Kec. Baleendah Kel. Andir Kec. Dayeuhkolot Ds. Dayeuhkolot Kec. Cicalengka Ds. Cicalengka Wetan,-6.974.538,10.757.866,2218.53,6,6,3,1
Kec. Margahayu Ds. Sayati Ds. Margahayu,-6.974.538,10.757.866,2218.53,6,6,3,1
Kec. Dayeuhkolot Ds. Dayeuhkolot Ds. Citeureup Kel. Pesawaran Kec. Baleendah Kel. Andir Kel. Baleendah Kec. Bojosoang Ds. Bojosoang Ds. Bojongsari Ds. Tegaluar,-698.644,10.762.411,2238.77,9,6,3,1
Kec. Dayeuhkolot Ds. Dayeuhkolot Ds. Citeureup Kel. Pasawahan Kec. Baleendah Kel. Andir Kel. Baleendah Kec. Banjaran Ds. Tarajusari Ds. Tanjungsari Kec. Bojongsoang Ds. Bojongsoang Ds. Bojongsari Ds. Tegaluar Kec. Solokanjeruk Ds. Panyadap Kec. Ciparay K,-698.644,10.762.411,2238.77,9,6,3,1
Kec. Dayeuhkolot Ds. Dayeuhkolot Kec. Bojosoang Ds. Bojongsari Ds. Bojosoang Kec. Katapang Kec. Cileunyi Kec. Baleendah,-698.644,10.762.411,2238.77,9,6,3,1
Kec. Dayeuhkolot Ds. Dayeuhkolot Ds. Citereup Kel. Pesawahan Kec. Bojongsoang Ds. Bojongsoang Kec. Baleendah Kel. Andir Kel. Baleendah Kec. Majalaya Kec. Ibun,-698.644,10.762.411,2238.77,9,6,3,1
Kec. Dayeuhkolot Ds. Dayeuhkolot Kel. Pesawahan Ds. Citeurep Kec. Baleendah Kel. Andir Kel. Baleendah Kel. Bojongsoang,-698.644,10.762.411,2238.77,9,6,3,1
Kec. Dayeuhkolot Ds. Dayeuhkolot Kec. Baleendah Kel. Andir Kec. Bojong Soang Kec. Cicalengka Kec. Cileunyi DS. Cimekar,-698.644,10.762.411,2238.77,9,6,3,1
Kec. Baleendah Ds. Baleendah Kp. Cigosol Kp. Muara Kp. Ciputat Kp. Uwak Kp. Cibadak Kp. Parunghalang Kp. Ciodeng Kp. Andir Kec. Dayeuhkolot Ds. Citeureup Kp. Bojongasih Kp. Babakan cilisung Kp. Cilisung Kp. Bolero Kp. kaum Kec. Bojongsoang Ds. Cijagra Kp,-7.018.377,107.630.571,2226.85,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, PANENJOAN",-6.986.854,107.817.989,1930.87,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, PANENJOAN",-6.986.854,107.817.989,1930.87,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, PANENJOAN",-6.986.854,107.817.989,1930.87,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA KULON",-6.981.591,107.832.724,1925.33,6,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA WETAN",-6.997.711,107.841.926,13.119,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, DAMPIT",-6.974.237,107.849.828,1934.66,5,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, MARGAASIH",-7.016.285,107.838.072,1956.46,5,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, NARAWITA",-7.026.569,107.844.001,1973.86,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, TANJUNGWANGI",-6.970.147,107.887.255,26.481,5,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, TENJOLAYA",-6.982.726,107.835.008,1925.93,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, NAGROG",-7.000.071,107.863.643,1953.56,1,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, NAGREG",-7.022.122,1.078.934,1996.39,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, BOJONG",-7.026.543,107.870.048,30.926,9,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CIHERANG",-7.034.742,107.891.743,2004.84,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CITAMAN",-7.009.957,107.875.985,26.39,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, MANDALAWANGI",-7.025.169,107.861.087,1979.74,7,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, NAGREG KENDAN",-7.022.122,1.078.934,1996.39,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, MANDALASARI",-7.037.923,10.782.847,36.557,5,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIKANCUNG",-7.038.502,107.825.012,2001.44,9,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIKASUNGKA",-7.014.067,107.811.798,1966.51,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIHANYIR",-7.034.434,10.781.092,2005.52,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CILULUK",-7.038.312,107.803.304,44.774,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, BOJONGSALAM",-6.992.941,107.802.196,1954.75,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, LINGGAR",-6.974.516,107.776.282,1999.65,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, CANGKUANG",-6.972.372,10.779.047,1969.36,9,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, HAURPUGUR",-6.994.326,107.777.028,2004.44,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, BOJONG",-7.039.568,107.767.543,2062.84,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, CIJAGRA",-7.036.788,107.777.117,2049.26,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, TANGSIMEKAR",-7.028.698,107.777.331,2039.69,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CANGKUANG, CANGKUANG",-6.979.043,107.782.748,31.229,6,6,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA KULON",-6.981.591,107.832.724,1925.33,6,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA WETAN",-6.997.711,107.841.926,13.119,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, DAMPIT",-6.974.237,107.849.828,1934.66,5,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, MARGAASIH",-7.016.285,107.838.072,1956.46,5,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, NARAWITA",-7.026.569,107.844.001,1973.86,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, TANJUNGWANGI",-6.970.147,107.887.255,26.481,5,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, TENJOLAYA",-6.982.726,107.835.008,1925.93,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, NAGROG",-7.000.071,107.863.643,1953.56,1,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, NAGREG",-7.022.122,1.078.934,1996.39,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, BOJONG",-7.026.543,107.870.048,30.926,9,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CIHERANG",-7.034.742,107.891.743,2004.84,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CITAMAN",-7.009.957,107.875.985,26.39,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, MANDALAWANGI",-7.025.169,107.861.087,1979.74,7,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, NAGREG KENDAN",-7.022.122,1.078.934,1996.39,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, MANDALASARI",-7.037.923,10.782.847,36.557,5,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIKANCUNG",-7.038.502,107.825.012,2001.44,9,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIKASUNGKA",-7.014.067,107.811.798,1966.51,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIHANYIR",-7.034.434,10.781.092,2005.52,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CILULUK",-7.038.312,107.803.304,44.774,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, BOJONGSALAM",-6.992.941,107.802.196,1954.75,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, LINGGAR",-6.974.516,107.776.282,1999.65,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, CANGKUANG",-6.972.372,10.779.047,1969.36,9,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, HAURPUGUR",-6.994.326,107.777.028,2004.44,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, BOJONG",-7.039.568,107.767.543,2062.84,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, CIJAGRA",-7.036.788,107.777.117,2049.26,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, TANGSIMEKAR",-7.028.698,107.777.331,2039.69,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CANGKUANG, CANGKUANG",-6.979.043,107.782.748,31.229,6,6,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA KULON",-6.981.591,107.832.724,1925.33,6,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA WETAN",-6.997.711,107.841.926,13.119,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, DAMPIT",-6.974.237,107.849.828,1934.66,5,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, MARGAASIH",-7.016.285,107.838.072,1956.46,5,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, NARAWITA",-7.026.569,107.844.001,1973.86,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, TANJUNGWANGI",-6.970.147,107.887.255,26.481,5,3,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, TENJOLAYA",-6.982.726,107.835.008,1925.93,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, NAGROG",-7.000.071,107.863.643,1953.56,1,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, NAGREG",-7.022.122,1.078.934,1996.39,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, BOJONG",-7.026.543,107.870.048,30.926,9,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CIHERANG",-7.034.742,107.891.743,2004.84,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CITAMAN",-7.009.957,107.875.985,26.39,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, MANDALAWANGI",-7.025.169,107.861.087,1979.74,7,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, NAGREG KENDAN",-7.022.122,1.078.934,1996.39,9,5,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, MANDALASARI",-7.037.923,10.782.847,36.557,5,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIKANCUNG",-7.038.502,107.825.012,2001.44,9,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIKASUNGKA",-7.014.067,107.811.798,1966.51,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIHANYIR",-7.034.434,10.781.092,2005.52,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CILULUK",-7.038.312,107.803.304,44.774,7,5,1,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, BOJONGSALAM",-6.992.941,107.802.196,1954.75,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, LINGGAR",-6.974.516,107.776.282,1999.65,6,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, CANGKUANG",-6.972.372,10.779.047,1969.36,9,6,2,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, HAURPUGUR",-6.994.326,107.777.028,2004.44,9,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, BOJONG",-7.039.568,107.767.543,2062.84,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, CIJAGRA",-7.036.788,107.777.117,2049.26,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, TANGSIMEKAR",-7.028.698,107.777.331,2039.69,6,6,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CANGKUANG, CANGKUANG",-6.979.043,107.782.748,31.229,6,6,1,0
Kec. Nagreg Ds. Citaman Kec. Paseh Ds. Dramatic Kec. Solokan Jeruk Ds. Panyadap Kec. Rancaekek Ds. Haur Pugur,-7.009.957,107.875.985,26.39,7,5,1,0
"Kec. Cicalengka Ds. Cicalengka Wetan, Cikuya",-6.981.591,107.832.724,1925.33,6,5,2,0
Kec. Nagreg Ds. Ciherang,-7.034.742,107.891.743,2004.84,5,5,3,1
Kec. Majalaya Ds. Bojong Kec. Margahayu Kec. Solokan Jeruk,-7.026.543,107.870.048,30.926,9,5,1,0
Kec. Cicalengka Ds. Panenjoan,-6.986.854,107.817.989,1930.87,6,6,2,0
Kec. Cicalengka Ds. Panenjoan,-6.986.854,107.817.989,1930.87,6,6,2,0
